index,problem_id,gurobi_status,obj_value,ground_truth,correct,error
0,industryOR_0,2,3050.0,3050.0,1,
1,industryOR_1,2,135000.0,135000.0,1,
2,industryOR_2,2,30400.0,30400.0,1,
3,industryOR_3,2,23000.0,23000.0,1,
4,industryOR_4,2,180000.0,180000.0,1,
5,industryOR_5,2,1600.0,1600.0,1,
6,industryOR_6,2,90000.0,90000.0,1,
7,industryOR_7,2,600.0,600.0,1,
8,industryOR_8,2,9800.0,9800.0,1,
9,industryOR_9,2,38000.0,38000.0,1,
10,industryOR_10,2,25000.0,25000.0,1,
11,industryOR_11,2,53.0,53.0,1,
12,industryOR_12,2,4700.0,4700.0,1,
13,industryOR_13,2,3.0,3.0,1,
14,industryOR_14,2,37000.0,37000.0,1,
15,industryOR_15,2,4.0,4.0,1,
16,industryOR_16,2,16600.0,43700.0,0,
17,industryOR_17,2,6800.0,6800.0,1,
18,industryOR_18,2,110.0,150.0,0,
19,industryOR_19,2,1030.0,1030.0,1,
20,industryOR_20,2,57.0,57.0,1,
21,industryOR_21,3,,42.1,0,
22,industryOR_22,ERROR,,14.0,0,KeyError: 'I'
23,industryOR_23,2,18.0,1000.0,0,
24,industryOR_24,ERROR,,10000.0,0,TypeError: '>' not supported between instances of 'str' and 'int'
25,industryOR_25,ERROR,,8505.0,0,NameError: name 'str' is not defined
26,industryOR_26,2,0.032435897435897434,32.436,0,
27,industryOR_27,ERROR,,1146.6,0,"TypeError: 2D param equipment_available_time expects nested dict for values[A1], got <class 'int'>."
28,industryOR_28,2,9350.0,2924.0,0,
29,industryOR_29,ERROR,,9337440.0,0,TypeError: unsupported operand type(s) for -: 'str' and 'int'
30,industryOR_30,ERROR,,1644.63,0,NotImplementedError: v1.1 only supports up to 2D variables.
31,industryOR_31,ERROR,,40.0,0,KeyError: 'A'
32,industryOR_32,2,623.0,623.0,1,
33,industryOR_33,2,240000.0,240000.0,1,
34,industryOR_34,2,15000.0,15000.0,1,
35,industryOR_35,ERROR,,435431000.0,0,"JSONDecodeError: Expecting ',' delimiter: line 43 column 20 (char 1054)"
36,industryOR_36,ERROR,,10755.0,0,NameError: name 'str' is not defined
37,industryOR_37,ERROR,,118400.0,0,TypeError: 'Var' object is not iterable
38,industryOR_38,ERROR,,85.0,0,NameError: name 'j' is not defined
39,industryOR_39,2,150.0,150.0,1,
40,industryOR_40,ERROR,,1146.57,0,"TypeError: 2D param available_time expects nested dict for values[A1], got <class 'int'>."
41,industryOR_41,2,22.0,22.0,1,
